"No.","Time","Source","Destination","Protocol","Length","Info"
"90843","171.249430","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"90865","172.213817","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"90878","173.196784","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"90895","174.236120","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"90911","175.239167","10.113.133.19","10.113.133.11","MQTT","56","Ping Request"
"90912","175.239346","10.113.133.11","10.113.133.19","MQTT","56","Ping Response"
"90915","175.260806","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"90923","176.271569","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"90933","177.258777","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"90947","178.206866","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"90960","179.265410","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"90972","180.216517","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"90993","181.365779","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"91003","182.235667","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"91014","183.295286","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"91025","184.228255","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"91043","185.227303","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"91054","186.292008","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"91077","187.307368","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
